,time,tweets
133,2018-07-21 02:48:08, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
134,2018-07-21 02:46:17,Vishnu your covert motto of leaking the war machine technologies to pakistan thro your channel will ne
135,2018-07-21 01:42:25, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
136,2018-07-21 01:35:05, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
137,2018-07-21 01:18:02, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
138,2018-07-21 01:02:41, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
139,2018-07-21 00:59:24,Whatever congress has done it s nothing compared to wholesale asset stripping of IndiaInc by ModiSarkar His Boll
140,2018-07-21 00:59:14,Whatever congress has done it s nothing compared to wholesale asset stripping of IndiaInc by ModiSarkar
141,2018-07-21 00:41:56, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
142,2018-07-20 22:35:19, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
143,2018-07-20 21:36:10, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
144,2018-07-20 21:06:14, Tru Ppl of AP wud definitely punish TDP amp ChandraBabuNaidu who won due 2 NaMo s hardwork TDPs Blackmailin amp A
145,2018-07-20 21:06:07,Tru Ppl of AP wud definitely punish TDP amp ChandraBabuNaidu who won due 2 NaMo s hardwork TDPs Blackm
146,2018-07-20 20:40:35, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
147,2018-07-20 20:25:54, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
148,2018-07-20 19:53:07, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
149,2018-07-20 19:19:30, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
150,2018-07-20 19:14:11, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
151,2018-07-20 19:09:54, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
152,2018-07-20 19:04:39, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
153,2018-07-20 19:01:18, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
154,2018-07-20 18:59:25, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
155,2018-07-20 18:50:20, Giving an opportunity to place before the nation the good deeds of his Government was a great gesture by
156,2018-07-20 18:46:57, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
157,2018-07-20 18:40:55, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
158,2018-07-20 18:33:50, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
159,2018-07-20 18:23:11, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
160,2018-07-20 18:22:09, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
161,2018-07-20 18:19:46,agli bar firse ModiSarkar congrats to and the people s representatives have voted for
162,2018-07-20 18:17:43, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
