time,tweets
2018-08-07 06:05:45,"RT @Ra_THORe: Rahul Gandhi claims GST was Congress' brainchild. 

Fact: WRONG. ❌ It was first conceived by the then PM Vajpayee ji in 1999.…"
2018-08-07 06:05:39,"RT @Ra_THORe: Rahul Gandhi accuses the government of opacity on Rafale deal. But here, the French President Emmanuel Macron, in an intervie…"
2018-08-07 06:05:34,"RT @Ra_THORe: It is clear that Rahul Gandhi has absolutely no real point to counter this government's performance with, and so he has resor…"
2018-08-07 06:05:28,RT @BJP4India: PM Modi is addressing the Parliament on #NoConfidenceMotion. Watch at URL #IndiaTrustsModi URL
2018-08-07 06:04:46,"RT @Ra_THORe: #NoConfidenceMotion reduced to a hug and a wink.

#Amul says it all 😉 URL"
2018-08-07 06:04:41,"RT @Ra_THORe: Today's #NoConfidenceMotion gave us #FullConfidence that arrogance can't win over good governance, development and growth.…"
2018-08-07 06:04:22,"RT @Ra_THORe: Rahul Gandhi has the audacity to call Surgical Strikes, a 'Jumla Strike'. 

It is shameful to use this kind of language for o…"
2018-08-07 06:04:19,"RT @Ra_THORe: Rahul Gandhi's arrogance is on full display for all to see when he proclaims, ""प्रधानमंत्री जी मेरी आँख में आँख नहीं डाल सकते…"
2018-08-07 06:04:17,"RT @Ra_THORe: Under PM @narendramodi ji's leadership, we electrified 18,000 villages, 5000 of which were in the North-East.

This shows our…"
2018-08-07 06:04:14,"RT @Ra_THORe: ""The fight against corruption and black money will continue.

 We are here to serve the poor, the marginalised and the weak.""…"
2018-08-07 05:53:46,RT @varunpuri1984: I thank you @RahulGandhi for for the entertainment for the day . It was real treat to see you speak in parliament . Now…
2018-08-07 05:20:31,"RT @ianuragthakur: For posing baseless allegations and misleading the Parliament &amp; people with bunch of lies, @RahulGandhi must apologise t…"
2018-08-07 04:39:08,RT @AditiSinghINC: #RahulHugsModi Rahul Gandhi Ji sets the Gold Standard of politics by walking the talk with Love/Compassion Not HATE/BIGO…
